270,141
282,160
128,142,1
130,170,1
145,66,1
151,182,1
152,147,1
156,126,1
183,95,1
184,63,1
184,216,1
188,118,1
188,195,1
203,245,1
204,97,1
207,158,1
209,184,1
216,270,1
217,59,1
223,121,1
225,213,1
231,165,1
235,80,1
238,271,1
251,108,1
252,166,1
255,143,1
261,41,1
263,245,1
277,91,1
277,170,1
282,206,1
288,234,1
289,136,1
291,66,1
298,91,1
302,158,1
304,113,1
309,233,1
326,44,1
326,167,1
332,115,1
345,204,1
350,92,1
351,46,1
355,174,1
361,119,1
367,141,1
380,82,1
388,128,1
389,149,1
392,176,1
405,267,1
406,107,1
409,69,1
410,216,1
413,187,1
416,137,1
431,163,1
433,220,1
447,189,1
